Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00390.fits	0	60224.63084550947	2460224.6308455095	NaN	NaN	0	1.614493	NaN	-10.4	40	NaN	NaN	3709884.153695243	36024	53.42878787878788	1980	404064.1110748702	10074	37.77632241813602	1985
r_pp_light_00391.fits	0	60224.631388530135	2460224.63138853	NaN	NaN	0	1.615753	NaN	-10.4	40	NaN	NaN	4499731.968342887	35902	52.16716802750322	2327	410114.2419626146	6389	37.25482279048901	2229
r_pp_light_00392.fits	0	60224.631932349876	2460224.63193235	NaN	NaN	0	1.617021	NaN	-10.4	40	NaN	NaN	4310265.400184607	35222	50.195240193918025	2269	408999.6600145182	7531	36.58156642146257	2311
r_pp_light_00393.fits	0	60224.63247627346	2460224.6324762735	NaN	NaN	0	1.618275	NaN	-10.4	40	NaN	NaN	4444487.354332803	36235	48.45716605765327	2463	409123.5756594911	6474	37.532986805277886	2501
r_pp_light_00394.fits	0	60224.63302039355	2460224.6330203936	NaN	NaN	0	1.619576	NaN	-10.4	40	NaN	NaN	3970868.80301379	35748	54.92137203166227	1895	408747.5549524858	9602	39.03489531405783	2006
r_pp_light_00395.fits	0	60224.63356386591	2460224.633563866	NaN	NaN	0	1.620841	NaN	-10.4	40	NaN	NaN	3698654.1083079195	38684	55.286952089704386	1962	406662.33140077663	9457	37.610683102208526	1947
r_pp_light_00396.fits	0	60224.63410762744	2460224.6341076274	NaN	NaN	0	1.6221	NaN	-10.4	40	NaN	NaN	4071731.9569408596	37466	50.529933481152995	2255	405446.66406686895	7207	37.549869904596704	2306
r_pp_light_00397.fits	0	60224.634651088156	2460224.634651088	NaN	NaN	0	1.623384	NaN	-10.4	40	NaN	NaN	4067490.3634998114	37081	52.02760736196319	2282	402372.9210621408	8375	37.53092334494774	2296
r_pp_light_00398.fits	0	60224.63519613445	2460224.6351961344	NaN	NaN	0	1.62465	NaN	-10.4	40	NaN	NaN	4016173.911073333	35953	55.05364173228347	2032	397640.36540405883	7081	39.57634184471079	1919
r_pp_light_00399.fits	0	60224.635739965364	2460224.6357399654	NaN	NaN	0	1.625913	NaN	-10.4	40	NaN	NaN	3768957.9988555363	38188	54.4375	1984	393976.94733491767	9543	38.04030612244898	1960
r_pp_light_00400.fits	0	60224.63628377346	2460224.6362837735	NaN	NaN	0	1.627196	NaN	-10.4	40	NaN	NaN	3674471.7212969265	36475	54.46001045478307	1913	397151.08666453225	9402	37.8868407578085	1953
