Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00118.fits	0	60224.482936354354	2460224.4829363544	NaN	NaN	0	1.299092	NaN	-10.4	40	NaN	NaN	2987051.2516252873	1169.3089024540384	37594	28.077436912419593	4042	327541.8005511247	173.3538072735509	9296	24.031257752418753	4031
r_pp_light_00119.fits	0	60224.483480104245	2460224.4834801042	NaN	NaN	0	1.299985	NaN	-10.3	40	NaN	NaN	2986590.96073973	1168.815824874476	36172	29.942821158690176	3970	320054.22115280654	169.52275630897654	9243	26.096337180130458	3986
r_pp_light_00120.fits	0	60224.484024282545	2460224.4840242825	NaN	NaN	0	1.300901	NaN	-10.4	40	NaN	NaN	3179696.357788029	1224.776727886803	35890	28.013128560812486	4037	330746.13612441695	174.89675005904618	8668	26.462155388471178	3990
r_pp_light_00121.fits	0	60224.48456891207	2460224.484568912	NaN	NaN	0	1.30182	NaN	-10.4	40	NaN	NaN	3103364.871368013	1202.5766374041527	35196	28.641356618577575	3951	324761.2434031509	171.88742813951671	8594	25.950037660055234	3983
r_pp_light_00122.fits	0	60224.48511266196	2460224.485112662	NaN	NaN	0	1.302721	NaN	-10.4	40	NaN	NaN	3160533.2293302785	1218.8280845377378	35967	29.927591463414632	3936	325030.0024661066	172.00772683446843	8348	27.664154734991207	3981
r_pp_light_00123.fits	0	60224.48565672478	2460224.485656725	NaN	NaN	0	1.303644	NaN	-10.4	40	NaN	NaN	2923925.249796387	1150.2625551609062	38005	30.100254452926208	3930	316774.6718269283	167.82068286809212	9430	27.105876393110435	3948
r_pp_light_00124.fits	0	60224.48620081041	2460224.4862008104	NaN	NaN	0	1.30457	NaN	-10.4	40	NaN	NaN	3028749.301927555	1181.2216910844884	36449	29.085335335335337	3996	329480.38324914774	174.1819292595273	9060	26.426969156257964	3923
r_pp_light_00125.fits	0	60224.48674373841	2460224.4867437384	NaN	NaN	0	1.305498	NaN	-10.4	40	NaN	NaN	2964217.3914214913	1162.0490594916557	37477	29.63722236405412	3917	332821.61771118594	175.95275090504273	9536	27.436268396108755	4009
r_pp_light_00126.fits	0	60224.48728740774	2460224.4872874077	NaN	NaN	0	1.306407	NaN	-10.4	40	NaN	NaN	2990545.084488216	1170.0111117299834	36221	27.920342828333755	3967	335826.4308076623	177.45901407297063	10099	26.894158761857213	4006
r_pp_light_00127.fits	0	60224.48783115763	2460224.4878311576	NaN	NaN	0	1.30734	NaN	-10.4	40	NaN	NaN	3047200.2781165354	1186.723165507756	36151	27.99254658385093	4025	349295.7240802263	184.32793900267635	8958	24.936206476747017	4107
