Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00036.fits	0	60212.35901447944	2460212.3590144794	NaN	NaN	0	1.144292	NaN	-10.4	40	NaN	NaN	4193992.272471924	39374	39.94150063586265	2359	464618.16425496986	12044	23.907185628742514	2338
r_pp_light_00037.fits	0	60212.35955909733	2460212.3595590973	NaN	NaN	0	1.144453	NaN	-10.3	40	NaN	NaN	4266225.303141726	38115	38.06043720531505	2333	462952.40804666094	11774	22.90885750962773	2337
r_pp_light_00038.fits	0	60212.360103588086	2460212.360103588	NaN	NaN	0	1.14462	NaN	-10.4	40	NaN	NaN	4502166.976273341	40702	39.39982386613826	2271	461922.8415279121	10548	20.799407532797293	2363
r_pp_light_00039.fits	0	60212.36064773146	2460212.3606477315	NaN	NaN	0	1.144789	NaN	-10.4	40	NaN	NaN	4723987.205706115	40154	36.96825396825397	2520	464673.03150161426	10495	24.52261904761905	2520
r_pp_light_00040.fits	0	60212.36119156284	2460212.361191563	NaN	NaN	0	1.144958	NaN	-10.3	40	NaN	NaN	4231268.086386692	38626	39.026785714285715	2352	466132.9477390749	12795	23.964345637583893	2384
r_pp_light_00041.fits	0	60212.361737303436	2460212.3617373034	NaN	NaN	0	1.14513	NaN	-10.4	40	NaN	NaN	4670325.675780869	40740	38.48377581120944	2373	464199.9210015635	9813	22.782459157351678	2326
r_pp_light_00042.fits	0	60212.36228171317	2460212.362281713	NaN	NaN	0	1.145303	NaN	-10.3	40	NaN	NaN	4036467.7338101785	42203	39.27014010507881	2284	463937.4071232322	13483	24.462796402289452	2446
r_pp_light_00043.fits	0	60212.362826030236	2460212.3628260302	NaN	NaN	0	1.145484	NaN	-10.4	40	NaN	NaN	3996086.8143139738	42123	41.63354648303	2033	465258.38575223257	14301	22.345896946564885	2096
r_pp_light_00044.fits	0	60212.36336995382	2460212.363369954	NaN	NaN	0	1.145666	NaN	-10.4	40	NaN	NaN	3909577.620581398	38795	39.51269909599656	2323	467030.8014649172	15132	24.95079086115993	2276
r_pp_light_00045.fits	0	60212.36391400499	2460212.363914005	NaN	NaN	0	1.145851	NaN	-10.3	40	NaN	NaN	3812757.1657027667	41137	44.52051282051282	1950	462047.79118026467	15324	23.10552027357108	2047
r_pp_light_00046.fits	0	60212.36445733812	2460212.364457338	NaN	NaN	0	1.146035	NaN	-10.3	40	NaN	NaN	3850924.818106535	40619	42.05675954592363	1938	462376.9101198623	15614	21.288011695906434	2052
r_pp_light_00047.fits	0	60212.36500256974	2460212.3650025697	NaN	NaN	0	1.146223	NaN	-10.3	40	NaN	NaN	3839997.736462062	43115	43.398583712696	1977	461733.9843785382	17664	22.217327459618208	2043
r_pp_light_00048.fits	0	60212.365548125	2460212.365548125	NaN	NaN	0	1.146417	NaN	-10.4	40	NaN	NaN	3719490.1154587227	39502	42.78789394697349	1999	465663.83209946466	17480	25.2672045562411	2107
r_pp_light_00049.fits	0	60212.36609211797	2460212.366092118	NaN	NaN	0	1.146609	NaN	-10.4	40	NaN	NaN	3841281.0722287176	44051	43.11212121212121	1980	463095.8988984457	15514	24.00585080448562	2051
r_pp_light_00050.fits	0	60212.366636354476	2460212.3666363545	NaN	NaN	0	1.146808	NaN	-10.4	40	NaN	NaN	4104994.872411699	40054	41.04531851218469	2339	465745.878896478	14085	25.47179487179487	2340
r_pp_light_00051.fits	0	60212.36718328716	2460212.367183287	NaN	NaN	0	1.147006	NaN	-10.4	40	NaN	NaN	3975512.6466088532	42363	40.04847704847705	2331	467097.67091707885	14566	25.076857386848847	2342
r_pp_light_00052.fits	0	60212.36772807874	2460212.3677280787	NaN	NaN	0	1.147209	NaN	-10.4	40	NaN	NaN	3982258.497059921	40499	45.023553507424474	1953	463996.8690761144	13755	24.109344894026975	2076
r_pp_light_00053.fits	0	60212.36827225704	2460212.368272257	NaN	NaN	0	1.147417	NaN	-10.4	40	NaN	NaN	3736544.3518996434	40965	43.008255933952526	1938	464728.5880403175	17459	26.3078070611636	2011
