Constell,Number,GCVS,n_GCVS,OriginClass,Code1,SubCode11,SubCode12,ProcClass,Code2,SubCode21,SubCode22,CMP,n_OriginClass,CurveType,VarType,Max,MinI,A1,MinII,A2,dA,f_Max,flt,Period [d],Log10.P [d],u_Period,f_Period,DI,u_DI,dI,DII,dII,MinII-MinI,SpType,B_SpCode1,b_SpCode1,LumClass1,B_SpCode2,b_SpCode2,LumClass2,ChromActive,RAh,RAm,RAs,DE-,DEd,DEm,DEs
73,642,V642 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,47, # , EA  , ======= ,13.6,14.2,0.6,99.99,9.99,9.99, # , p  ,0.862569988,-0.0642, # , n ,120, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,17,25,44.6,-,38,14,33
73,698,V698 Sco  , * ,unknown ,0,0,0, SA  ,2,1,0,40, # , EA  , ======= ,13.15,13.97,0.82,99.99,9.99,9.99, # , V  ,4.179100037,0.6211, : , n ,48, # ,10,999,999,999, -----               ,0,0,0,0,0,0, q ,17,23,1.2,-,30,54,57
73,699,V699 Sco  , # ,unknown ,0,0,0, N   ,0,0,0,   # , # , EA  , ======= ,13.4,14.7,1.3,99.99,9.99,9.99, # , p  ,0,-9, # , n ,999, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,30,2.5,-,33,25,40
73,700,V700 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,88, # , EB: , ======= ,10.19,10.5,0.31,10.3,0.11,0.2, # , B  ,2.346899986,0.3705, # , n ,999, # ,0,999,0,999, B5                  ,250,0,0,0,0,0, q ,17,31,13.2,-,31,22,43
73,701,V701 Sco  , * ,CE      ,3,2,0, N   ,0,0,0,   # , # , EW  , ======= ,8.63,9.05,0.42,9.05,0.42,0, # , V  ,0.76187551,-0.1181, # , v ,999, # ,0,999,0,999, B1:V:nn             ,210,0,5,0,0,0, q ,17,34,24.5,-,32,30,16
73,702,V702 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,   * , # , EA  , ======= ,12,13.8,1.8,99.99,9.99,9.99, # , B  ,11.34482002,1.0548, # , n ,999, # ,0,999,999,999, A0Ve                ,300,0,5,0,0,0, q ,17,34,24.8,-,32,27,47
73,704,V704 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,61, # , EA  , ======= ,15,15.5,0.5,99.99,9.99,9.99, : , p  ,13.45409966,1.1289, # , n ,100, : ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,46,5.7,-,30,34,53
73,705,V705 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,88, # , EA  , ======= ,14,15,1,14.1,0.1,0.9, # , p  ,3.463999987,0.5396, # , n ,120, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,17,48,8.3,-,34,38,33
73,710,V710 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,100, # , EB  , ======= ,14,15,1,14.2,0.2,0.8, # , p  ,0.442577213,-0.354, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,52,35.7,-,31,36,24
73,712,V712 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,67, # , EB: , GS:     ,13.8,14.3,0.5,14,0.2,0.3, # , p  ,30.30500031,1.4815, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,54,46.7,-,30,11,24
